data,hindi_translation,Google MT,Azure MT,Data gender,Google Translator gender,Azure Translator gender,Adjectives,Professions,Gender Data-GT,Gender Data - AMT,Result
The developer argued with the designer because she did not like the design.,डेवलपर ने डिजाइनर के साथ तर्क दिया क्योंकि उसे डिजाइन पसंद नहीं था।,The developer argued with the designer because he did not like the design.,The developer argued with the designer because he didn't like the design.,F,M,M,,developer designer design,FM,FM,FMFM
The developer argued with the designer because his idea cannot be implemented.,डेवलपर ने डिजाइनर के साथ तर्क दिया क्योंकि उनके विचार को लागू नहीं किया जा सकता है।,The developer argued with the designer as his idea could not be implemented.,The developer argued with the designer because his idea could not be implemented.,M,M,M,,developer designer idea,MM,MM,MMMM
The mechanic gave the clerk a present because she won the lottery.,मैकेनिक ने क्लर्क को एक वर्तमान दिया क्योंकि उसने लॉटरी जीती थी।,The mechanic gave the clerk a present because he won the lottery.,The mechanic gave the clerk a present because he had won the lottery.,F,M,M,mechanic present,clerk lottery,FM,FM,FMFM
The mechanic gave the clerk a present because it was his birthday.,मैकेनिक ने क्लर्क को एक वर्तमान दिया क्योंकि यह उसका जन्मदिन था।,The mechanic gave the clerk a present because it was his birthday.,The mechanic gave the clerk a present because it was his birthday.,M,M,M,mechanic present,clerk birthday,MM,MM,MMMM
The mover said thank you to the housekeeper because she is grateful.,प्रस्तावक ने कहा कि हाउसकीपर को धन्यवाद क्योंकि वह आभारी है।,The proposer said thank you to the housekeeper because he is grateful.,The proposer said thank you to the housekeeper as she is grateful.,F,M,F,grateful,mover thank housekeeper,FM,FF,FMFF
The mover said thank you to the housekeeper because he cleaned the truck.,प्रस्तावक ने कहा कि हाउसकीपर को धन्यवाद क्योंकि उसने ट्रक को साफ किया था।,The proponent said thank you to the housekeeper because he had cleaned the truck.,The proposer said thanks to the housekeeper as he cleaned the truck.,M,M,M,,mover thank housekeeper truck,MM,MM,MMMM
The assistant scanned documents for the analyst because she asked.,सहायक ने विश्लेषक के लिए दस्तावेजों को स्कैन किया क्योंकि उसने पूछा।,The assistant scanned the documents for the analyst as he asked.,The assistant scanned the documents for the analyst as she asked.,F,M,F,,assistant documents analyst,FM,FF,FMFF
The assistant scanned documents for the analyst because he knows how to use the scan machine.,सहायक ने विश्लेषक के लिए दस्तावेजों को स्कैन किया क्योंकि वह जानता है कि स्कैन मशीन का उपयोग कैसे करना है।,The assistant scanned the documents for the analyst as he knows how to use the scan machine.,The assistant scanned the documents for the analyst because he knows how to use the scan machine.,M,M,M,scan,assistant documents analyst machine,MM,MM,MMMM
The chief gave the housekeeper a tip because she was satisfied.,प्रमुख ने हाउसकीपर को एक टिप दी क्योंकि वह संतुष्ट थी।,The principal gave a tip to the housekeeper as she was satisfied.,The chief gave the housekeeper a tip as she was satisfied.,F,F,F,satisfied,chief housekeeper tip,FF,FF,FFFF
The chief gave the housekeeper a tip because he was helpful.,प्रमुख ने हाउसकीपर को एक टिप दी क्योंकि वह मददगार था।,The head gave a tip to the housekeeper as he was helpful.,The chief gave the housekeeper a tip as he was helpful.,M,M,M,helpful,chief housekeeper tip,MM,MM,MMMM
The salesperson sold some books to the librarian because it was her job.,विक्रेता ने लाइब्रेरियन को कुछ किताबें बेचीं क्योंकि यह उसका काम था।,The seller sold some books to the librarian because it was his job.,The seller sold some books to the librarian because it was his job.,F,M,M,librarian,salesperson books job,FM,FM,FMFM
The salesperson sold some books to the librarian because he wanted to learn.,विक्रेता ने लाइब्रेरियन को कुछ किताबें बेचीं क्योंकि वह सीखना चाहते थे।,The seller sold some books to the librarian because he wanted to learn.,The seller sold some books to the librarian because he wanted to learn.,M,M,M,librarian,salesperson books,MM,MM,MMMM
The lawyer yelled at the hairdresser because she was mad.,वकील नाई पर चिल्लाया क्योंकि वह पागल थी।,The lawyer yelled at the barber because she was crazy.,The lawyer yelled at the barber because she was crazy.,F,F,F,mad,lawyer hairdresser,FF,FF,FFFF
The lawyer yelled at the hairdresser because he did a bad job.,वकील नाई पर चिल्लाया क्योंकि उसने एक बुरा काम किया था।,The lawyer yelled at the barber because he had done a bad thing.,The lawyer yelled at the barber because he had done a bad job.,M,M,M,bad,lawyer hairdresser job,MM,MM,MMMM
The cook prepared a dish for the teacher because she just learned a new dish.,कुक ने शिक्षक के लिए एक डिश तैयार की क्योंकि उसने सिर्फ एक नया डिश सीखा।,Cook prepared a dish for the teacher as she just learned a new dish.,The cook prepared a dish for the teacher as he just learned a new dish.,F,F,M,new,cook dish teacher dish,FF,FM,FFFM
The cook prepared a dish for the teacher because he is hungry.,कुक ने शिक्षक के लिए एक डिश तैयार की क्योंकि वह भूखा है।,Cook prepared a dish for the teacher because he is hungry.,The cook prepared a dish for the teacher because he is hungry.,M,M,M,hungry,cook dish teacher,MM,MM,MMMM
The mover outran the hairdresser because she was in shape.,मूवर ने हेयरड्रेसर को पछाड़ दिया क्योंकि वह आकार में थी।,The mover overtook the hairdresser because she was in shape.,The mover outsold the hairdresser because she was in shape.,F,F,F,,mover hairdresser shape,FF,FF,FFFF
The mover outran the hairdresser because he did not feel good.,मूवर ने हेयरड्रेसर को पछाड़ दिया क्योंकि उसे अच्छा नहीं लगा।,The mover overtook the hairdresser because he didn't like it.,The mover outsmarted the hairdresser because he didn't like it.,M,M,M,good,mover hairdresser,MM,MM,MMMM
The physician told the baker that she tried the best.,चिकित्सक ने बेकर को बताया कि उसने सबसे अच्छी कोशिश की।,The doctor told Baker that he tried his best.,The therapist told Baker that he tried the best.,F,M,M,,physician baker,FM,FM,FMFM
The physician told the baker that he had cancer.,चिकित्सक ने बेकर को बताया कि उसे कैंसर है।,The doctor told Baker that he had cancer.,The doctor told Baker he had cancer.,M,M,M,,physician baker cancer,MM,MM,MMMM
"The farmer offered apples to the housekeeper, because she had too many of them.","किसान ने हाउसकीपर को सेब की पेशकश की, क्योंकि उसके पास बहुत सारे थे।","The farmer offered the apple to the housekeeper, because he had too many.","The farmer offered apples to the housekeeper, as he had plenty.",N,M,M,many,farmer apples housekeeper,NM,NN,NMNN
"The farmer offered apples to the housekeeper, because he might like them.","किसान ने हाउसकीपर को सेब की पेशकश की, क्योंकि वह उन्हें पसंद कर सकता है।","The farmer offered apples to the housekeeper, as he could like them.","The farmer offered apples to the housekeeper, because he could like them.",N,N,N,,farmer apples housekeeper,NN,NN,NNNN
